id,Presidenta Municipal 
,Coordinación de Mejora a la Vivienda
,Coordinación de Rescate de Espacios  públicos
,
,Centro de Desarrollo Comunitario La Joya 
,COORDINACIÓN TERRITORIAL COMUNITARIA  (U. T. C)
,Coordinador General
,Coordinador Administrativo
,U. T. C.  1----- Calle Valle del Guadalquivir
,U. T. C.  2------ Calle Manuel Ponce Col. Pedro Ojeda Paullada
,U. T. C.  3------ Calle Guanajuato Centro Cívico la Croc Aragón
,"U. T. C.  4------ Calle Xochitl, Col.  Ciudad Amanecer dentro del Deportivo"
,"U. T. C.  5------ Centro Cívico Fed.  Ecatepec, col.  Poesía Mexicana "
,U. T. C.  6------ Quiosco detrás del mercado Sauces 2
,"U. T. C.  7------ Bomberos Tolozin 2, Col.  Central Michoacana "
,"U. T. C.  8------ Calle Quinto Sol, aun costado de la Secundaria Telpuchcalli"
,U. T. C.  9------ Los Arcos 
,U. T. C.  10------ COPACI de Jardines de San Gabriel 
,U. T. C.  1------ Deportivo San Agustín 1ra Sección 
,"U. T. C.  12------ Boulevard Tonatiuh, Cd.  Azteca 1ra Sección "
,"U. T. C.  13------ El Cegor, sobre Av.  R-1, entre calles papalotla y Ecatepec "
,U. T. C.  14------ Módulo de Policía Río de Luz 
,U. T. C.  15------ Delegación Municipal Santa Clara
,U. T. C.  16------ Módulo Tolozin 1
,"U. T. C.  17------ Tecalli Policía Municipal de Ecatepec, con esquina R-1"
,"U. T. C.  18------ Delegación Rustica Xalostoc, aun costado de del Centro Cultural Guillermo Fragoso "
,U. T. C.  19------ Centro Cívico de Santa María Xalostoc 
,"U. T. C.  20------ Deportivo Siervo de la Nación, Col.  La Purísima "
,"U. T. C.  21------ Calle Fuente Chica, entre Vía Morelos y Circuito                                                                                                                                                                 Fuentes de Ecatepec "
,"U. T. C.  22------ Módulo de Policía, Calle Nicolas Bravo,                                                                                                                                                     Col.  Jardines de Morelos "
,U. T. C.  23------ Plaza San Isidro Afláutenlo 
,U. T. C.  24------ Deportivo Alfredo del Mazo 5ta de Jardines de Morelos 
,"U. T. C.  25------ Módulo de Seguridad Pública, sobre Calle Manzana aun costado de la Escuela de Futbol Sefor "
,"U. T. C.  26------ Calle Niños Héroes Sur, Parque de los Héroes 4ta Sección "
,U. T. C.  27------ Sin propuesta de sede 
,U. T. C.  28------ Plaza del Pueblo de Santa María Chiconautla 
,"U. T. C.  29------ Mercado Cuauhtémoc, sobre Calle Embajada de Polonia"
,"U. T. C.  30------ Casa de la Diversidad ""Johana Morales"""
,"U. T. C.  31------ Plaza Santo Tomas Chiconautla Av.  Miguel Hidalgo, Esq.  Francisco Madero "
,U. T. C.  32------ Casa de Cultura Ojo de Agua 
,"U. T. C.  33------ Calle 11, casi Esq.  Recursos Hidráulico, Col.  Abel Martínez "
,"U. T. C.  34------ Conalep Ecatepec 3, Sobre Calle Venustiano Carranza "
,"U. T. C.  35------ Módulo de Seguridad, aun costado de Parque de Milpa Alta, sobre Av.  Venustiano Carranza "
,"U. T. C.  36------ Módulo de Policía, sobre Calle Donato Guerra "
,U. T. C.  37------ Deportivo Ejidal Emiliano Zapata 
,U. T. C.  38------ Módulo de Policía en Parque Izcalli Ecatepec 
,U. T. C.  39------ Delegación Av.  Acueducto 
,"U. T. C.  40------ Módulo de Policía, Calle Operador de Agua "
,"U. T. C.  41------ Casa de la Diversidad el Ostor, sobre Calle Otumba, Esq.  Calle Jaltenco "
,"U. T. C.  42------ Prolongación Av.  México, Oficialía de Mediadora "
,"U. T. C.  43------ Mercado de Tejalpa, sobre Calle Av.  Plan de Ayala "
,U. T. C.  44------ Parque Bicentenario Hank González 
,"U. T. C.  45------ Centro de Salud, aun costado de la Delegación San Andrés de La Cañada, sobre Av.  San Andrés"
,"U. T. C.  46------ Espacio de Usos Múltiples, Esq.  Vicente Guerrero, Esq.  Av.  Copal "
,U. T. C.  47------ Pendiente de espacio 
,"U. T. C.  48------ Calle 5 de Mayo Poniente, Esq.  Con Cerrada Miguel Hidalgo, aun costado de la Plaza Santa Clara Coatitla"
,"U. T. C.  49------ Módulo Cuadrante 37, sobre Av.  México Col.  Santa María Tulpetlac "
,U. T. C.  50------ Sede administrativa las Américas 
,"U. T. C.  51------ Estación de Policía sobre calle Suchiate, Col.  Jardines de Morelos "
,DIRECCIÓN DE COMUNICACIÓN SOCIAL 
,Dirección
,Conmutador 
,Coordinación de Comunicación 
,Coordinadora Administrativa 
,Departamento de Información 
,Reporteras
,Departamento de Redes Sociales
,Monitoreo 
,Fotografía y Video
,Camarógrafos
,Departamento de Fotografía y Video
,Fotógrafos 
,Streaming
,DIRECCIÓN DE DESARROLLO ECONÓMICO 
,Dirección
,Recepción
,Licencias de Funcionamiento
,Coordinación Administrativa de Desarrollo Económico
,Subdirección de Verificación y Normatividad 
,Departamento de Mejora Regulatoria
,Jefatura de Departamento de Verificación y Normatividad
,Micro créditos
,Empleo
,"Jefatura de Turismo, Artesanos, Empleo y Abasto"
,Plaza Catedral
,DIRECCIÓN DE  OBRAS PÚBLICAS
,Dirección
,Recepción
,Subdirección de Control  Administrativo
,Subdirección de Obras Públicas
,Subdirección de Obras por Administración 
,Recepción
,Departamento de Construcción y Mantenimiento Urbano
,Departamento de Costos y Precios Unitarios 
,Jefatura  de Edificación 
,Recepción 
,Departamento de Urbanización
,Departamento de Licitaciones y Contratos
,Departamento de Control de Obra  
,DIRECCIÓN DE DESARROLLO URBANO
,Dirección 
,Coordinación Administrativa
,Coordinación Plan de Desarrollo Urbano
,Cargo Operativo en Coordinación de Plan de Desarrollo Urbano
,Coordinación Jurídica de Desarrollo Urbano 
,Subdirección de Desarrollo Urbano 
,Recepción
,"Depto.  de Inspección Verificación,(Encargado) "
,Recepción
,Jefe de Departamento Licencias de Construcción ( Archivo )
,Licencias de Usó de suelo
,Cedulas de zonificación y Anuncios
,Subdirección de Regulación del Suelo y Tenencia de la Tierra
,Departamento de Prevención del Crecimiento Urbano Irregular
,Programa de Regulación y Escrituración
,Departamento de Vinculación Interinstitucional
,DIRECCIÓN DE DIVERSIDAD SEXUAL 
,Dirección 
,Recepción
,Coordinador Administrativo
,Jefe de Departamento de Asistencia Jurídica
,Jefe de Departamento de Atención Especializada 
,DIRECCIÓN DE EDUCACIÓN
,Dirección
,Asistente de la Dirección
,Recepción
,Coordinación Técnica y Administrativa
,Recepción de Coordinación Administrativa
,Departamento de Educación Básica 
,Departamento de Educación Media Superior Y Superior
,Departamento de Educación Abierta a Distancia y para Adultos   
,Departamento de Servicio Social y Prácticas Profesionales 
,INSTITUTO DE CULTURA
,Dirección
,Coordinación Administrativa 
,Departamento de Fomento a la lectura 
,Departamento de Cultura Comunitaria 
,Departamento de Patrimonio Cultural
,Departamento de Fomento Musical 
,BIBLIOTECAS 
,Coordinación de Tonalis 
,Biblioteca Convencional (Enrique González Rojo Arthur )
,Casa de Cultura (Los Llanetes)
,Biblioteca Virtual (Avión Parque Bicentenario)          
,Biblioteca Convencional  (Margarito F.  Ayala)       
,Biblioteca Virtual (Granjas Valle de Guadalupe)
,Biblioteca Convencional (Gabriela Mistral)  
,Biblioteca Convencional (Cd.  Cuauhtémoc)  
,Biblioteca Convencional (Tlacaélel)                      
,Biblioteca Virtual y Convencional (Santa Clara)                 
,Biblioteca Virtual y Casa de Cultura (Pirámide)                            
,Biblioteca Convencional (Octavio Paz)                 
,Biblioteca Virtual (CEDE las Américas) 
,Biblioteca Convencional (Leonor Moctezuma)                  
,Biblioteca Convencional (Los Laureles)                  
,Biblioteca Convencional (La Popular)                    
,Biblioteca Convencional (Chiconautlan)                    
,Biblioteca Santa María Chiconautla   (Virtual )                         
,Biblioteca Convencional (5 De Mayo)                      
,Biblioteca Convencional (Giordano Bruno)     
,Biblioteca Virtual  (Texalpa)                                   
,Biblioteca Convencional (Rubén Darío)     
,Biblioteca Virtual  (CEDE Xalostoc )                                   
,Biblioteca Virtual   (Jajalpa)                                    
,Biblioteca Virtual y Casa de Cultura (Guillermo Fragoso Martínez)                            
,Casa de Cultura (Josué Valdés Mondragón)
,Casa de Cultura (San Agustín)
,Museo de Historia Natural 
,Museo de Historia Natural (Museo de vestigios Arqueológicos)
,Museo (Jurásica)
,Museo (Planetario)
,INSTITUTO MUNICIPAL DE LAS MUJERES E IGUALDAD DE GÉNERO (IMMIG)
,Dirección
,Coordinación Administrativa
,Departamento de Defensoría Municipal de las Mujeres Ecatepenses
,Departamento de  Prevención y Atención a la Violencia contra las Mujeres 
,Red de Mujeres 
,Departamento de Empoderamiento Territorial 
,Casa de la Mujer Nicolás Bravo
,Casa de la Mujer Col.  Ciudad Cuauhtémoc
,CONSEJERÍA JURÍDICA 
,Dirección
,Oficialía de partes 
,Coordinación Administrativa 
,Subdirección Jurídica 
,Departamento de Amparo de la Consejería Jurídica
,Departamento de Control Jurídico 
,Departamento Penal 
,Departamento Contencioso  Administrativo 
,Departamento Civil
,Departamento de Revisión Validación y Actualización Reglamentaria 
,Departamento Laboral Administrativo 
,Subdirección de Asuntos Laborales 
,Departamento Laboral 
,DIRECCIÓN DE MEDIO AMBIENTE Y ECOLOGÍA
,Dirección 
,Subdirección de Regulación Ambiental ( Poda y  Arbolado )
,Coordinación Administrativa
,Subdirección Ambiental de Conservación y Restauración Ecológica
,Jefatura de Evaluación y Orientación 
,"Jefatura de Regulación Ambiental y Permisos, Licencias  "
,Jefatura de Conservación de (ANP´s y ) Reforestación 
,Jefatura de Fauna Silvestre
,Coordinación de Recursos Materiales y Vivero 
,Coordinación del Parque Ehécatl 
,"DIRECCIÓN  DE MERCADOS, TIANGUIS Y VÍA PÚBLICA "
,Dirección
,Recepción
,Coordinación de Mercados
,Coordinadora Administrativa 
,DIRECCIÓN DE MOVILIDAD URBANA 
,Dirección
,Recepción
,Coordinación Administrativa
,Proyectos
,Normatividad y Jurídico
,Transporte 
,Departamento Vial y Ordenamiento Urbano
,DIRECCIÓN DE PROTECCIÓN CIVIL Y BOMBEROS
,Dirección
,Coordinación Administrativa 
,Recepción 
,Coordinación Jurídica
,Vinculación C4
,Emergencias 
,Subdirección Operativa 
,Departamento de Bomberos 
,Departamento de Rescate Urbano
,Departamento de Atención Pre hospitalaria
,Subdirección de Análisis de Riesgo
,Departamento de Capacitación
,Departamento de Análisis y Normatividad
,DIRECCIÓN DE SERVICIOS PÚBLICOS
,Dirección
,Recepción
,"Coordinación Jurídica (Transparencia , Archivo ,Amparos y Auditorias"
,Subdirección de Administración y Planeación 
,Recepción
,Subdirección de Programas Sustentables de Residuos 
,"Subdirección de Control de Gestión, Indicadores y Escucha Social "
,Departamento de Control Combustible y Almacén 
,Supervisor 
,Departamento de Rastro Municipal 
,Supervisor  de (Rastro Municipal )
,Departamento de Rescate de Espacios Públicos 
,Departamento de Alumbrado Público 
,Departamento de Parques y Jardines 
,Supervisor de  ( Rastro Municipal )
,Departamento de Limpia y Recolección 
,Departamento de Barrido y Balizamiento 
,Departamento de Planta Procesadora y Vertedero Municipal 
,Departamento de Atención Ciudadana 
,Departamento de Panteones 
,Departamento de Funeraria
,Panteón Mpal.  san.  Efrén Panteones  (Encargado)
,Panteón Mpal.  san.  Isidro                   (Encargado ) 
,Departamento de Control de Gestión 
,DIRECCIÓN DE SEGURIDAD CIUDADANA Y TRÁNSITO MUNICIPAL 
,Comisario
,Director de Seguridad Pública y Transito 
,Secretario del Consejo de la Secretaría Técnica de Seguridad Pública
,Coordinación Administrativa 
,Recepción
,Infracciones 
,Secretario de la Comunicación y Justicia 
,Presidente de Comunicación de Honor y Justicia 
,Subdirección de Modelo Policial                                                                                                                                                                                   
,Profesionalización
,Modelo Policial                                                                                                                                                                                   
,Asuntos Internos                                      
,Armamento
,Oficialía de Partes                                           
,Centro de Mando
,"Arco de Entrada Dirección, Troyano"
,Principal
,Caseta
,Posterior
,Presidencia
,Plataforma México
,Torito 
, INSTITUTO DE LA JUVENTUD  
,Dirección  
,Coordinador Administrativo
,Departamento de Vinculación
,Departamento de apoyo a la juventud
,DEFENSORÍA MUNICIPAL DE DERECHOS HUMANOS 
,"Encargada de Despacho, de la Defensoría de Derechos Humanos"
,Recepción
,Coordinación Administrativa
,Departamento de difusión y Promoción de los derechos Humanos
,Departamento de Protección y defensa de los derechos Humanos
,DIRECCIÓN DE ORGANISMO PÚBLICO DESCENTRALIZADO DEL INSTITUTO MUNICIPAL DE CULTURA FÍSICA Y DEPORTE DE ECATEPEC DE MORELOS (IMCUFIDEEM)
,(Encargado de Despacho)
,Secretaría Técnica
,Contraloría Interna 
,Jefatura de Planeación y Promoción de la Cultura Física y Deporte
,Jefatura de Supervisión y Control de Espacio 
,DIRECCIÓN DE GOBIERNO
,Dirección
,Recepción
,Coordinación Administrativa
,Departamento de Régimen Condominal
,Departamento de Autoridades auxiliares Organizaciones y Asuntos Sociales                                                                                                                                                                                                                                                                                                                            ( COPACI)
,Departamento de pueblos originarios y comunidades indígenas residentes
,Departamento de Asuntos Religiosos      y Asuntos Migratorios
,Departamento Jurídico Administrativo
,Coordinación de autoridades auxiliares y asuntos sociales
,"S.  A.  P.  A.  S.  E.   (Sistema De Agua Potable, Alcantarillado Y Saneamiento De Ecatepec de Morelos)"
,Dirección
,Conmutador
,"Atención Ciudadana Oficialía de Partes, Reportes de Fugas   "
,Secretaria Técnica
,Contraloría Interna
,Coordinación Jurídica
,Coord. de Pipas
,Coord.  de Construcción y Operación Hidráulica
,"Coord,Vactor, Agua, Potable, Alcantarillado,Drenaje y Desazolve"
,D.  I.  F.  Sistema  Municipal para el Desarrollo Integral de la Familia
,Directora del Sistema  Municipal D. I. F. 
,Conmutador
,Tesorería 
,Subdirección de Administración
,Contraloría Interna
,Unidad de Substanciación y Resolución 
,Unidad de Estancias  Infantiles
,Huertos Familiares 
,Unidad de Jardín de Niños
,Departamento de Atención  al Adulto Mayor ( Casa de Día )                                                                                                                                                                                                                                       
,Unidad de Investigación 
,Departamento de Ingresos y Egresos
,Procuraduría de Protección de Niñas y Niños
,Subdirección de Servicios Educativos
,"Unidad de Asistencia Social para Niñas,Niños,Adolesentes "
,Departamento Contabilidad Gubernamental 
,Departamento de Adquisiciones y Servicios
,Subdirección de Atención a Grupos Vulnerables 
,Departamento (UIPPE) y Trasparencia
,"Departamento de Información Planeacion,Programación"
,Coordinación Procuración de Fondos
,Unidad de Atención a la Mujer en Violencia Intrafamiliar
,Departamento de Servicios Generales y Mantenimiento 
,"Departamento de Centros Comunitarios, Bienestar y Clubes "
,Departamento de Recursos Humanos 
,Departamento de Control Vehicular 
,Subdirección de Servicios Médicos y de Atención a Personas con Discapacidad
,Departamento de Programas Sociales 
,Subdirección de Bienestar Social 
,Departamento de Archivo y Patrimonio 
,Departamento de Atención a la Discapacidad 
,Unidad de Auditoria y Control Interno 
,Coordinación de Asistencia Alimentaria Nutricional 
,Consejería Jurídica 
,Unidad de Gobierno Digital y Atención Ciudadana (Informática)
,Coordinación de la Clínica de Salud Mental
,"Clínicas de Especialidades Médicas, Odontológicas y Medicina Alternativa"
,Casa Hogar
,Subdirector  de Salud Pública
,Subdirección del Centro de Control Canino
,"Cris, Centró de rehabilitación integral san Agustín DIF"
,Clínica Cabecera Municipal 
,EDILES
,CARGO
,Presidenta Municipal 
,Primer Síndico                                                                                                                                                                                                                                                            (MORENA )                                                                                                                                                                                                                                                                                                                                                                                                                                                          
,Segunda  Síndica   ( PAN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
,REGIDORES
,Primer Regidora                                                                                          (MORENA )                                                                                                                                                                                                                                                                                                                                                                               
,Segundo Regidor                                                                                                                                                                                                                                                                       (PT)                                                                                                                             
,Tercer Regidora                                                                                                                                                                                                                                                                                           (MORENA)                                                                                                
,Cuarto Regidor   (MORENA)
,Quinta Regidora        ( PT )                                                                                                                                                                                                                                                                                                                             
,Sexto Regidor    (MORENA)                                                                                                                                                                                                                                                                                                                                                                                                                                        
,Séptima Regidora    ( PT )                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
,Octava Regidora  (PRI)                                                                                                                                                                                                                                                                                                                                                                                                           
,Noveno Regidor   (MOVIMIENTO CIUDADANO)  
,Décimo Regidor (VERDE)                                                                                                                                
,Décimo Primera Regidora  (PT)                                                                                                 
,Décimo Segunda Regidora  (PAN)                                                                                                 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,5542941440
,5640030976
